date,precipitation,soil_moisture
2014-08-01,0.97,0.61
2014-08-02,1.93,0.6
2014-08-03,1.43,0.6
2014-08-04,4.06,0.61
2014-08-05,8.21,0.62
2014-08-06,5.77,0.62
2014-08-07,2.92,0.62
2014-08-08,6.18,0.62
2014-08-09,4.14,0.63
2014-08-10,0.68,0.62
2014-08-11,2.62,0.62
2014-08-12,6.31,0.62
2014-08-13,5.0,0.62
2014-08-14,0.46,0.62
2014-08-15,3.07,0.61
2014-08-16,14.73,0.62
2014-08-17,12.5,0.66
2014-08-18,1.74,0.64
2014-08-19,14.29,0.65
2014-08-20,12.95,0.66
2014-08-21,14.11,0.67
2014-08-22,4.06,0.66
2014-08-23,7.71,0.66
2014-08-24,1.77,0.66
2014-08-25,4.03,0.64
2014-08-26,8.29,0.64
2014-08-27,7.7,0.65
2014-08-28,2.47,0.65
2014-08-29,3.16,0.64
2014-08-30,5.04,0.63
2014-08-31,3.37,0.64
2014-09-01,7.57,0.64
2014-09-02,10.36,0.65
2014-09-03,2.25,0.65
2014-09-04,2.92,0.64
2014-09-05,2.78,0.64
2014-09-06,3.04,0.63
2014-09-07,3.87,0.63
2014-09-08,4.34,0.63
2014-09-09,4.93,0.63
2014-09-10,8.36,0.64
2014-09-11,2.82,0.64
2014-09-12,5.58,0.64
2014-09-13,8.14,0.64
2014-09-14,4.79,0.64
2014-09-15,10.69,0.64
2014-09-16,19.33,0.66
2014-09-17,11.26,0.68
2014-09-18,6.03,0.68
2014-09-19,10.95,0.67
2014-09-20,8.78,0.68
2014-09-21,6.2,0.67
2014-09-22,7.32,0.67
2014-09-23,17.13,0.68
2014-09-24,19.75,0.7
2014-09-25,7.28,0.7
2014-09-26,9.52,0.7
2014-09-27,5.4,0.7
2014-09-28,4.35,0.68
2014-09-29,5.15,0.68
2014-09-30,4.69,0.67
2014-10-01,9.36,0.68
2014-10-02,7.45,0.68
2014-10-03,8.39,0.69
2014-10-04,2.93,0.69
2014-10-05,5.91,0.68
2014-10-06,3.79,0.68
2014-10-07,4.61,0.68
2014-10-08,7.34,0.68
2014-10-09,2.66,0.68
2014-10-10,2.56,0.67
2014-10-11,5.98,0.67
2014-10-12,8.33,0.67
2014-10-13,6.3,0.68
2014-10-14,7.45,0.69
2014-10-15,3.67,0.68
2014-10-16,2.87,0.68
2014-10-17,3.06,0.67
2014-10-18,1.1,0.66
2014-10-19,1.83,0.66
2014-10-20,4.95,0.66
2014-10-21,1.6,0.66
2014-10-22,1.7,0.66
2014-10-23,0.83,0.65
2014-10-24,0.61,0.65
2014-10-25,1.24,0.64
2014-10-26,3.13,0.64
2014-10-27,1.79,0.64
2014-10-28,2.7,0.64
2014-10-29,5.36,0.64
2014-10-30,5.88,0.65
2014-10-31,2.6,0.66
2014-11-01,2.83,0.66
2014-11-02,2.57,0.65
2014-11-03,7.12,0.65
2014-11-04,15.17,0.66
2014-11-05,10.66,0.67
2014-11-06,3.98,0.68
2014-11-07,3.14,0.67
2014-11-08,3.1,0.66
2014-11-09,4.32,0.66
2014-11-10,3.46,0.66
2014-11-11,3.21,0.66
2014-11-12,1.5,0.66
2014-11-13,1.58,0.65
2014-11-14,2.26,0.65
2014-11-15,0.95,0.64
2014-11-16,1.78,0.64
2014-11-17,3.59,0.64
2014-11-18,1.79,0.64
2014-11-19,1.67,0.63
2014-11-20,3.06,0.63
2014-11-21,2.17,0.63
2014-11-22,2.23,0.63
2014-11-23,3.76,0.63
2014-11-24,4.67,0.63
2014-11-25,2.69,0.63
2014-11-26,2.03,0.63
2014-11-27,5.17,0.63
2014-11-28,4.71,0.64
2014-11-29,2.46,0.64
2014-11-30,3.99,0.64
2014-12-01,3.28,0.64
2014-12-02,1.58,0.63
2014-12-03,3.16,0.63
2014-12-04,1.74,0.63
2014-12-05,2.97,0.62
2014-12-06,5.75,0.62
2014-12-07,0.93,0.62
2014-12-08,0.56,0.62
2014-12-09,0.55,0.62
2014-12-10,0.14,0.61
2014-12-11,0.23,0.6
2014-12-12,0.03,0.6
2014-12-13,0.0,0.59
2014-12-14,0.02,0.59
2014-12-15,0.0,0.59
2014-12-16,0.0,0.59
2014-12-17,0.02,0.59
2014-12-18,2.22,0.59
2014-12-19,3.84,0.59
2014-12-20,0.5,0.59
2014-12-21,0.18,0.59
2014-12-22,0.0,0.59
2014-12-23,0.11,0.58
2014-12-24,0.01,0.58
2014-12-25,0.0,0.58
2014-12-26,0.0,0.57
2014-12-27,0.0,0.57
2014-12-28,0.0,0.56
2014-12-29,0.0,0.56
2014-12-30,0.0,0.55
2014-12-31,0.0,0.55
2015-01-01,0.0,0.55
2015-01-02,0.0,0.55
2015-01-03,0.0,0.54
2015-01-04,0.0,0.54
2015-01-05,0.0,0.53
2015-01-06,0.0,0.53
2015-01-07,0.0,0.53
2015-01-08,0.0,0.52
2015-01-09,0.0,0.52
2015-01-10,0.0,0.52
2015-01-11,0.0,0.52
2015-01-12,0.0,0.52
2015-01-13,0.0,0.52
2015-01-14,0.0,0.52
2015-01-15,0.0,0.52
2015-01-16,0.0,0.52
2015-01-17,0.0,0.52
2015-01-18,0.02,0.51
2015-01-19,0.03,0.51
2015-01-20,0.05,0.51
2015-01-21,1.34,0.51
2015-01-22,1.45,0.51
2015-01-23,1.44,0.51
2015-01-24,0.12,0.5
2015-01-25,0.13,0.5
2015-01-26,0.03,0.49
2015-01-27,0.02,0.49
2015-01-28,0.01,0.48
2015-01-29,0.01,0.48
2015-01-30,0.01,0.48
2015-01-31,0.14,0.48
2015-02-01,0.7,0.48
2015-02-02,0.69,0.48
2015-02-03,1.5,0.48
2015-02-04,1.31,0.48
2015-02-05,4.08,0.48
2015-02-06,6.89,0.49
2015-02-07,2.17,0.5
2015-02-08,1.78,0.49
2015-02-09,6.31,0.5
2015-02-10,3.95,0.51
2015-02-11,7.6,0.52
2015-02-12,24.98,0.55
2015-02-13,0.31,0.56
2015-02-14,2.4,0.55
2015-02-15,3.67,0.55
2015-02-16,6.71,0.55
2015-02-17,0.47,0.55
2015-02-18,0.24,0.53
2015-02-19,7.23,0.53
2015-02-20,1.98,0.53
2015-02-21,15.52,0.55
2015-02-22,7.05,0.56
2015-02-23,0.29,0.55
2015-02-24,0.22,0.54
2015-02-25,0.12,0.52
2015-02-26,0.21,0.52
2015-02-27,0.75,0.51
2015-02-28,0.39,0.5
2015-03-01,0.01,0.49
2015-03-02,0.0,0.48
2015-03-03,0.0,0.48
2015-03-04,0.37,0.48
2015-03-05,2.15,0.47
2015-03-06,2.86,0.48
2015-03-07,0.78,0.48
2015-03-08,0.95,0.47
2015-03-09,1.79,0.47
2015-03-10,14.56,0.49
2015-03-11,1.66,0.49
2015-03-12,4.65,0.49
2015-03-13,15.23,0.51
2015-03-14,3.62,0.52
2015-03-15,3.64,0.52
2015-03-16,6.52,0.52
2015-03-17,3.85,0.52
2015-03-18,1.58,0.52
2015-03-19,0.24,0.52
2015-03-20,0.77,0.51
2015-03-21,4.74,0.51
2015-03-22,3.12,0.51
2015-03-23,3.05,0.52
2015-03-24,2.11,0.51
2015-03-25,3.09,0.51
2015-03-26,2.17,0.5
2015-03-27,4.89,0.51
2015-03-28,0.56,0.5
2015-03-29,0.4,0.5
2015-03-30,1.05,0.49
2015-03-31,0.96,0.48
2015-04-01,0.59,0.48
2015-04-02,1.56,0.48
2015-04-03,1.71,0.47
2015-04-04,2.55,0.48
2015-04-05,0.67,0.48
2015-04-06,2.24,0.47
2015-04-07,6.5,0.48
2015-04-08,8.73,0.49
2015-04-09,7.82,0.51
2015-04-10,0.63,0.51
2015-04-11,6.38,0.51
2015-04-12,16.22,0.53
2015-04-13,0.64,0.53
2015-04-14,1.74,0.52
2015-04-15,0.45,0.52
2015-04-16,0.39,0.51
2015-04-17,0.1,0.5
2015-04-18,0.41,0.48
2015-04-19,2.19,0.48
2015-04-20,2.55,0.48
2015-04-21,8.14,0.49
2015-04-22,8.08,0.5
2015-04-23,7.62,0.51
2015-04-24,8.21,0.52
2015-04-25,1.82,0.52
2015-04-26,5.41,0.52
2015-04-27,1.69,0.52
2015-04-28,3.03,0.52
2015-04-29,4.99,0.52
2015-04-30,2.98,0.52
2015-05-01,8.17,0.51
2015-05-02,7.77,0.52
2015-05-03,6.9,0.53
2015-05-04,16.64,0.55
2015-05-05,5.08,0.55
2015-05-06,0.35,0.54
2015-05-07,0.56,0.53
2015-05-08,1.14,0.52
2015-05-09,1.03,0.51
2015-05-10,1.05,0.51
2015-05-11,3.03,0.51
2015-05-12,5.75,0.51
2015-05-13,5.1,0.51
2015-05-14,4.96,0.51
2015-05-15,3.17,0.51
2015-05-16,3.37,0.51
2015-05-17,3.34,0.5
2015-05-18,13.81,0.51
2015-05-19,14.53,0.55
2015-05-20,0.72,0.54
2015-05-21,2.77,0.53
2015-05-22,5.07,0.52
2015-05-23,5.38,0.52
2015-05-24,4.57,0.53
2015-05-25,5.15,0.53
2015-05-26,2.6,0.52
2015-05-27,4.54,0.52
2015-05-28,2.62,0.52
2015-05-29,1.26,0.52
2015-05-30,2.47,0.51
2015-05-31,3.77,0.51
2015-06-01,7.27,0.52
2015-06-02,11.04,0.53
2015-06-03,11.03,0.54
2015-06-04,4.23,0.55
2015-06-05,8.44,0.55
2015-06-06,1.93,0.55
2015-06-07,4.93,0.54
2015-06-08,9.12,0.55
2015-06-09,10.37,0.55
2015-06-10,15.09,0.57
2015-06-11,8.47,0.59
2015-06-12,2.74,0.58
2015-06-13,4.14,0.57
2015-06-14,7.98,0.57
